INFO  2018-05-27 13:51:17,954 [1    ] InitializeIocContainer                   - IocContainer created ! 
DEBUG 2018-05-27 13:51:18,704 [1    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetAllList
DEBUG 2018-05-27 13:51:23,780 [10   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
INFO  2018-05-27 13:51:46,654 [3    ] InitializeIocContainer                   - IocContainer created ! 
DEBUG 2018-05-27 13:51:47,059 [3    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetAllList
DEBUG 2018-05-27 13:51:50,613 [10   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-05-27 13:51:52,704 [14   ] UnitOfWorkInterceptor                    - UserService -> GetUserByUsernameAndPassword
DEBUG 2018-05-27 13:51:52,708 [14   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetAll
DEBUG 2018-05-27 13:51:53,119 [6    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-05-27 13:51:53,125 [6    ] UnitOfWorkInterceptor                    - PermissionCheckerManager -> GetGrantedPermissions
DEBUG 2018-05-27 13:51:53,126 [6    ] UnitOfWorkInterceptor                    - UserManager -> GetGrantedPermissions
DEBUG 2018-05-27 13:51:53,190 [6    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-05-27 13:51:53,362 [6    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-05-27 13:51:53,393 [6    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-05-27 13:51:53,409 [6    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-05-27 13:51:53,409 [6    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-05-27 13:51:53,409 [6    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-05-27 13:51:53,409 [6    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-05-27 13:51:53,409 [6    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-05-27 13:51:53,409 [6    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-05-27 13:51:53,409 [6    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-05-27 13:51:53,409 [6    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-05-27 13:51:53,409 [6    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-05-27 13:51:54,852 [6    ] UnitOfWorkInterceptor                    - PermissionCheckerManager -> IsGranted
DEBUG 2018-05-27 13:51:54,853 [10   ] UnitOfWorkInterceptor                    - PermissionCheckerManager -> IsGranted
DEBUG 2018-05-27 13:51:54,855 [6    ] UnitOfWorkInterceptor                    - UserManager -> IsGranted
DEBUG 2018-05-27 13:51:54,855 [10   ] UnitOfWorkInterceptor                    - UserManager -> IsGranted
DEBUG 2018-05-27 13:51:54,856 [6    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-05-27 13:51:54,856 [10   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-05-27 13:51:54,860 [6    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-05-27 13:51:54,866 [10   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-05-27 13:51:54,870 [10   ] UnitOfWorkInterceptor                    - RoleService -> GetRoles
DEBUG 2018-05-27 13:51:54,873 [10   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetAllList
DEBUG 2018-05-27 13:51:54,894 [6    ] UnitOfWorkInterceptor                    - UserService -> GetUsers
DEBUG 2018-05-27 13:51:54,899 [6    ] UnitOfWorkInterceptor                    - EfUserRepository -> GetUsers
DEBUG 2018-05-27 13:51:56,019 [10   ] UnitOfWorkInterceptor                    - PermissionCheckerManager -> IsGranted
DEBUG 2018-05-27 13:51:56,020 [10   ] UnitOfWorkInterceptor                    - UserManager -> IsGranted
DEBUG 2018-05-27 13:51:56,021 [10   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-05-27 13:51:56,023 [10   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-05-27 13:51:56,025 [10   ] UnitOfWorkInterceptor                    - RoleService -> GetRoles
DEBUG 2018-05-27 13:51:56,025 [10   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetAllList
DEBUG 2018-05-27 13:51:57,080 [14   ] UnitOfWorkInterceptor                    - PermissionCheckerManager -> IsGranted
DEBUG 2018-05-27 13:51:57,081 [14   ] UnitOfWorkInterceptor                    - UserManager -> IsGranted
DEBUG 2018-05-27 13:51:57,082 [14   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-05-27 13:51:57,081 [10   ] UnitOfWorkInterceptor                    - PermissionCheckerManager -> IsGranted
DEBUG 2018-05-27 13:51:57,083 [10   ] UnitOfWorkInterceptor                    - UserManager -> IsGranted
DEBUG 2018-05-27 13:51:57,084 [10   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-05-27 13:51:57,086 [10   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-05-27 13:51:57,088 [14   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-05-27 13:51:57,088 [10   ] UnitOfWorkInterceptor                    - RoleService -> GetRoles
DEBUG 2018-05-27 13:51:57,090 [10   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetAllList
DEBUG 2018-05-27 13:51:57,091 [14   ] UnitOfWorkInterceptor                    - UserService -> GetUsers
DEBUG 2018-05-27 13:51:57,093 [14   ] UnitOfWorkInterceptor                    - EfUserRepository -> GetUsers
DEBUG 2018-05-27 13:51:58,005 [10   ] UnitOfWorkInterceptor                    - PermissionCheckerManager -> IsGranted
DEBUG 2018-05-27 13:51:58,006 [10   ] UnitOfWorkInterceptor                    - UserManager -> IsGranted
DEBUG 2018-05-27 13:51:58,007 [10   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-05-27 13:51:58,009 [10   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-05-27 13:51:58,024 [10   ] UnitOfWorkInterceptor                    - UserService -> GetUser
DEBUG 2018-05-27 13:51:58,025 [10   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-05-27 13:52:03,087 [15   ] UnitOfWorkInterceptor                    - PermissionCheckerManager -> IsGranted
DEBUG 2018-05-27 13:52:03,088 [15   ] UnitOfWorkInterceptor                    - UserManager -> IsGranted
DEBUG 2018-05-27 13:52:03,089 [15   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-05-27 13:52:03,091 [15   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-05-27 13:52:03,093 [15   ] UnitOfWorkInterceptor                    - RoleService -> GetRoles
DEBUG 2018-05-27 13:52:03,094 [15   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetAllList
DEBUG 2018-05-27 13:52:03,884 [14   ] UnitOfWorkInterceptor                    - PermissionCheckerManager -> IsGranted
DEBUG 2018-05-27 13:52:03,885 [14   ] UnitOfWorkInterceptor                    - UserManager -> IsGranted
DEBUG 2018-05-27 13:52:03,885 [14   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-05-27 13:52:03,889 [14   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-05-27 13:52:03,893 [14   ] UnitOfWorkInterceptor                    - RoleService -> GetRole
DEBUG 2018-05-27 13:52:03,895 [14   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-05-27 13:52:03,899 [14   ] UnitOfWorkInterceptor                    - RoleManager -> GetGrantedPermissions
DEBUG 2018-05-27 13:52:03,902 [14   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-05-27 13:52:03,903 [14   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-05-27 13:52:03,905 [14   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-05-27 13:52:03,906 [14   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
