INFO  2018-04-18 21:58:33,500 [1    ] InitializeIocContainer                   - IocContainer created ! 
DEBUG 2018-04-18 21:58:34,240 [1    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetAllList
DEBUG 2018-04-18 21:58:40,404 [7    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-04-18 21:58:42,586 [7    ] UnitOfWorkInterceptor                    - UserService -> GetUserByUsernameAndPassword
DEBUG 2018-04-18 21:58:42,593 [7    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetAll
DEBUG 2018-04-18 21:58:43,551 [13   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-04-18 21:58:43,556 [13   ] UnitOfWorkInterceptor                    - PermissionCheckerManager -> GetGrantedPermissions
DEBUG 2018-04-18 21:58:43,565 [13   ] UnitOfWorkInterceptor                    - UserManager -> GetGrantedPermissions
DEBUG 2018-04-18 21:58:43,691 [13   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-04-18 21:58:44,044 [13   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-04-18 21:58:44,104 [13   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-04-18 21:58:44,109 [13   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-04-18 21:58:44,111 [13   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-04-18 21:58:44,114 [13   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-04-18 21:58:44,115 [13   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-04-18 21:58:44,118 [13   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-04-18 21:58:44,119 [13   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-04-18 21:58:44,122 [13   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-04-18 21:58:44,123 [13   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-04-18 21:58:44,125 [13   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-04-18 21:58:45,814 [18   ] UnitOfWorkInterceptor                    - PermissionCheckerManager -> IsGranted
DEBUG 2018-04-18 21:58:45,815 [7    ] UnitOfWorkInterceptor                    - PermissionCheckerManager -> IsGranted
DEBUG 2018-04-18 21:58:45,817 [18   ] UnitOfWorkInterceptor                    - UserManager -> IsGranted
DEBUG 2018-04-18 21:58:45,817 [7    ] UnitOfWorkInterceptor                    - UserManager -> IsGranted
DEBUG 2018-04-18 21:58:45,818 [7    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-04-18 21:58:45,818 [18   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-04-18 21:58:45,821 [7    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-04-18 21:58:45,826 [7    ] UnitOfWorkInterceptor                    - RoleService -> GetRoles
