INFO  2018-04-16 22:28:09,111 [1    ] InitializeIocContainer                   - IocContainer created ! 
DEBUG 2018-04-16 22:28:09,864 [1    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetAllList
DEBUG 2018-04-16 22:28:20,124 [6    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-04-16 22:28:26,428 [6    ] UnitOfWorkInterceptor                    - UserService -> GetUserByUsernameAndPassword
DEBUG 2018-04-16 22:28:26,435 [6    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetAll
DEBUG 2018-04-16 22:28:27,875 [5    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-04-16 22:28:27,891 [5    ] UnitOfWorkInterceptor                    - PermissionCheckerManager -> GetGrantedPermissions
DEBUG 2018-04-16 22:28:27,891 [5    ] UnitOfWorkInterceptor                    - UserManager -> GetGrantedPermissions
DEBUG 2018-04-16 22:28:27,975 [5    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-04-16 22:28:28,177 [5    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-04-16 22:28:28,208 [5    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-04-16 22:28:28,223 [5    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-04-16 22:28:28,223 [5    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-04-16 22:28:28,223 [5    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-04-16 22:28:28,239 [5    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-04-16 22:28:28,239 [5    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-04-16 22:28:28,239 [5    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-04-16 22:28:28,255 [5    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-04-16 22:28:28,255 [5    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-04-16 22:28:28,270 [5    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-04-16 22:28:31,983 [15   ] UnitOfWorkInterceptor                    - PermissionCheckerManager -> IsGranted
DEBUG 2018-04-16 22:28:31,988 [5    ] UnitOfWorkInterceptor                    - PermissionCheckerManager -> IsGranted
DEBUG 2018-04-16 22:28:31,990 [15   ] UnitOfWorkInterceptor                    - UserManager -> IsGranted
DEBUG 2018-04-16 22:28:31,996 [5    ] UnitOfWorkInterceptor                    - UserManager -> IsGranted
DEBUG 2018-04-16 22:28:32,007 [5    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-04-16 22:28:32,003 [15   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-04-16 22:28:32,020 [5    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-04-16 22:28:32,037 [15   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-04-16 22:28:32,077 [15   ] UnitOfWorkInterceptor                    - UserService -> GetUsers
DEBUG 2018-04-16 22:28:32,095 [15   ] UnitOfWorkInterceptor                    - EfUserRepository -> GetUsers
DEBUG 2018-04-16 22:28:32,496 [5    ] UnitOfWorkInterceptor                    - RoleService -> GetRoles
DEBUG 2018-04-16 22:28:32,504 [5    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetAllList
DEBUG 2018-04-16 22:28:33,157 [6    ] UnitOfWorkInterceptor                    - PermissionCheckerManager -> IsGranted
DEBUG 2018-04-16 22:28:33,166 [6    ] UnitOfWorkInterceptor                    - UserManager -> IsGranted
DEBUG 2018-04-16 22:28:33,171 [6    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-04-16 22:28:33,216 [6    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-04-16 22:28:33,223 [6    ] UnitOfWorkInterceptor                    - RoleService -> GetRoles
DEBUG 2018-04-16 22:28:33,227 [6    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetAllList
DEBUG 2018-04-16 22:28:34,232 [6    ] UnitOfWorkInterceptor                    - PermissionCheckerManager -> IsGranted
DEBUG 2018-04-16 22:28:34,237 [6    ] UnitOfWorkInterceptor                    - UserManager -> IsGranted
DEBUG 2018-04-16 22:28:34,240 [6    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-04-16 22:28:34,245 [6    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-04-16 22:28:34,260 [6    ] UnitOfWorkInterceptor                    - RoleService -> GetRole
DEBUG 2018-04-16 22:28:34,263 [6    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
