INFO  2018-04-17 09:24:13,555 [1    ] InitializeIocContainer                   - IocContainer created ! 
DEBUG 2018-04-17 09:24:14,377 [1    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetAllList
DEBUG 2018-04-17 09:24:18,583 [8    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-04-17 09:24:18,871 [8    ] UnitOfWorkInterceptor                    - PermissionCheckerManager -> GetGrantedPermissions
DEBUG 2018-04-17 09:24:18,876 [8    ] UnitOfWorkInterceptor                    - UserManager -> GetGrantedPermissions
DEBUG 2018-04-17 09:24:18,943 [8    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-04-17 09:24:19,162 [8    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-04-17 09:24:19,210 [8    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-04-17 09:24:19,213 [8    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-04-17 09:24:19,214 [8    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-04-17 09:24:19,216 [8    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-04-17 09:24:19,217 [8    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-04-17 09:24:19,219 [8    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-04-17 09:24:19,220 [8    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-04-17 09:24:19,221 [8    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-04-17 09:24:19,222 [8    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-04-17 09:24:19,223 [8    ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-04-17 09:25:20,911 [12   ] UnitOfWorkInterceptor                    - PermissionCheckerManager -> IsGranted
DEBUG 2018-04-17 09:25:20,911 [17   ] UnitOfWorkInterceptor                    - PermissionCheckerManager -> IsGranted
DEBUG 2018-04-17 09:25:20,913 [12   ] UnitOfWorkInterceptor                    - UserManager -> IsGranted
DEBUG 2018-04-17 09:25:20,918 [17   ] UnitOfWorkInterceptor                    - UserManager -> IsGranted
DEBUG 2018-04-17 09:25:20,919 [17   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-04-17 09:25:20,919 [12   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-04-17 09:25:20,928 [17   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-04-17 09:25:20,934 [12   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-04-17 09:25:20,941 [12   ] UnitOfWorkInterceptor                    - RoleService -> GetRoles
DEBUG 2018-04-17 09:25:20,944 [12   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetAllList
DEBUG 2018-04-17 09:25:20,967 [17   ] UnitOfWorkInterceptor                    - UserService -> GetUsers
DEBUG 2018-04-17 09:25:20,971 [17   ] UnitOfWorkInterceptor                    - EfUserRepository -> GetUsers
DEBUG 2018-04-17 09:25:22,122 [12   ] UnitOfWorkInterceptor                    - PermissionCheckerManager -> IsGranted
DEBUG 2018-04-17 09:25:22,123 [12   ] UnitOfWorkInterceptor                    - UserManager -> IsGranted
DEBUG 2018-04-17 09:25:22,123 [12   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-04-17 09:25:22,125 [12   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-04-17 09:25:22,127 [12   ] UnitOfWorkInterceptor                    - RoleService -> GetRoles
DEBUG 2018-04-17 09:25:22,128 [12   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetAllList
DEBUG 2018-04-17 09:34:51,014 [39   ] UnitOfWorkInterceptor                    - PermissionCheckerManager -> IsGranted
DEBUG 2018-04-17 09:34:51,015 [39   ] UnitOfWorkInterceptor                    - UserManager -> IsGranted
DEBUG 2018-04-17 09:34:51,016 [39   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-04-17 09:34:51,017 [40   ] UnitOfWorkInterceptor                    - PermissionCheckerManager -> IsGranted
DEBUG 2018-04-17 09:34:51,019 [40   ] UnitOfWorkInterceptor                    - UserManager -> IsGranted
DEBUG 2018-04-17 09:34:51,019 [40   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-04-17 09:34:51,028 [39   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-04-17 09:34:51,031 [40   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-04-17 09:34:51,032 [39   ] UnitOfWorkInterceptor                    - UserService -> GetUsers
DEBUG 2018-04-17 09:34:51,033 [40   ] UnitOfWorkInterceptor                    - RoleService -> GetRoles
DEBUG 2018-04-17 09:34:51,033 [39   ] UnitOfWorkInterceptor                    - EfUserRepository -> GetUsers
DEBUG 2018-04-17 09:34:51,034 [40   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetAllList
DEBUG 2018-04-17 09:34:51,741 [40   ] UnitOfWorkInterceptor                    - PermissionCheckerManager -> IsGranted
DEBUG 2018-04-17 09:34:51,742 [40   ] UnitOfWorkInterceptor                    - UserManager -> IsGranted
DEBUG 2018-04-17 09:34:51,743 [40   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
DEBUG 2018-04-17 09:34:51,746 [40   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> FirstOrDefault
DEBUG 2018-04-17 09:34:51,748 [40   ] UnitOfWorkInterceptor                    - RoleService -> GetRoles
DEBUG 2018-04-17 09:34:51,749 [40   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetAllList
DEBUG 2018-04-17 09:36:54,716 [34   ] UnitOfWorkInterceptor                    - BaseRepository`2 -> GetIsActive
